website,city,description,phone,company_name,address,email,zip_code
http://www.apsalt.com,Trivandrum,"To provide Information Technology Infrastructure management service in global market. To become a leading company in software and web development, providing quality products and services to our clients ensuring highest level of customer satisfaction at an affordable price. Products & Services: Software Developing, Web Development, Mobile Development, Web Designing",+91 471 2700009,Apsalt Technologies,"Basement Floor, Park Centre, Technopark Campus",hr@apsalt.com,695 581
http://www.aptaracorp.com,Trivandrum,"Aptara helps global enterprises gain a competitive advantage through its capabilities in digital media innovation and world-class content production and publishing. Aptara takes the time to understand your business objectives, training needs and culture. Products & Services: E-learning, Digital Publishing, Educational Publishing, Journal and Financial Publishing, Project Management, Developmental Editing, eDiscovery / Document Review.",+91 471 4063370,Aptara Learning Private Ltd,"222-223, 2nd Floor, Nila Building & C1-Thejaswini Building, Technopark Campus",vijay.kumar@aptaracorp.com,695 581
http://www.arackal.com,Trivandrum,"Arackal is a Global Services company at the forefront of Strategic Outsourcing Services. These outsourcing services include Information Technology Solutions, Business Process Outsourcing and Design Services. Arackal empowers organizations by providing them an opportunity to increase focus on core co Products & Services: Business Process Outsourcing, IT Solutions, Design Services, Date Management Services.",,Arackal Digital Solutions,"231 & 232 Nila, Technopark Campus Trivandrum",info@arackal.com,695581
http://www.arivameddata.com,Trivandrum,"Ariva Med Data is an emerging leader in the industry supporting many businesses in the U.S.A. At Ariva Med Data we efficiently bridge the gap between physicians and the information they require in the ever accelerating healthcare field. Products & Services: Medical Billing and Coding, Managed Care, Software Development, Medical Animations, Financial Analysis What we are looking for: Customers for billing and coding, Software Development, Medical Animations.",+91 471 2700880,Ariva Med Date Infotech Pvt Ltd,"L-1, Thejaswini Building, Technopark Campus",hr@arivameddata.com,695581
http://www.arssoftware.com,Trivandrum,ARS SE,+91 471-2527444,ARS Software Engineering PVT Ltd,"131-135, Nila, Technopark",info@arssoftware.com,695581
http://www.artindynamics.com,Trivandrum,"Artin Dynamics believes in Synergetic Evolution as the sure shot means of improving and thus perfecting life.Having an ever enthusiastic team empowered by the thirst to make the life of the common man more better, AD constantly strives to empower dumb devices with more human like intelligence so tha Products & Services: Automation Consulting, Research and development in Automation domain, Energy Management and Conservation Consultants.",+91 471-3081456,Artin Dynamics Controls Pvt Ltd,"4th floor, Nila, Technopark Campus",contactus@artindynamics.com,695581
http://www.attinadsoftware.com,Trivandrum,"Attinad Software Pvt Ltd. is a company focusing on delivering niche mobile solutions to both enterprise and consumer markets. According to leading research firms this market is around 22 Billion USD and growing. Products & Services: Mobility Consulting, Healthcare What we are looking for: Customers for Mobile Consulting and Healthcare.",471 2527788,Attinad Software Pvt Ltd,"Module - 335, 3rd Floor, Nila Building, Technopark",sales@attinadsoftware.com,695581
http://www.bizarrefx.com,Trivandrum,"BizarreFX Technologies Pvt. Ltd. is a highly qualified group of professionals driven company which focus on the area of Website designing and Software development. In which we specialize in the creation of effective, stylish and affordable website designs. Products & Services: Web Designing and Development, Search Engine Optimization, Web hosting and registration, Software Development, E-Commerce, Biometric Services. What we are looking for: Customers for Web Development, E- Commerce, etc.","+91 9656900109, 9567764109",BizarreFX Technologies Pvt Ltd,"TBIC 2, -2nd Floor, Thejaswini, Technopark",contact@bizarrefx.com,695581
http://www.calmove.com,Trivandrum,"It is a software development company that focuses on application development, web designing, training and consulting. We focus mainly the middle east market with emphasis on diverse domains including health care,industrial trading ,man power. Products & Services: Microvisual Studio, Microvisual Studio.Net, ASP, PHP, JAVA, SAP, Oracle, Sql Server, Mysql. What we are looking for: Projects in ASP, PHP, JAVA, SAP, Oracle, etc",+91 471 6560767,Calmove Technologies Pvt Ltd,"1st Floor, Padmanabham, Technopark Campus.",guhan@calmove.com,695581
http://www.cassfordinfo.com,Trivandrum,"Our specializations include Accounting, Online Business Management solutions, Institution Management, Mobile phone applications, Intranet applications, Smart Card applications and many more. Products & Services: Online & Offline Application Development, Social Networking Application, IT & ITES Consulting, Intranet Application, 3D & 2D Animation. What we are looking for: Customers for Online, Offline Application Development, Social Networking Application, Intranet Application.",+91 471 3049302,Cassford Info Solutions Pvt Ltd,"A - 11, T-TBI, 4th Floor, Nila, Technopark",mail@cassfordinfo.com,695581
http://www.cellplc.com,Trivandrum,"E-tutor package is enriched with thousands of curriculum specific 2D and 3D animations, simulations, diagrams and experiments, blossoming an interactive and collaborative learning environment. Products & Services: Intranet Solutions, On-line Learning System",+91 471-3043041,Cell Technologies Pvt Ltd,"Thejaswini, Technopark Campus",info@cellplc.com,695581
http://www.collabera.com,Trivandrum,"Collabera is a fast growing, end-to-end information technology services and solutions provider working with leading Global 2000 organizations from the Banking & Financial Services, Telecommunications & Media, Technology, Energy & Utilities and Manufacturing & Retail domains. Products & Services: Consulting and Application Services, Enterprise Software Solutions, Engineering Solutions, Infrastructure Services, Professional Services. What we are looking for: Those who are looking for Consulting and Application services, Engineering Solutions, Professional Services.",+91 471 4074000,Collabera Enterprise Software Solutions Pvt Ltd,"5th Floor, Thejaswini, Technopark Campus",solutionsinfo@collabera.com,695581
http://www.compu-needs.com,Trivandrum,"Compu-Needs Communication was founded in 1992 with a commitment to serve the inidividual and commercial needs of clients who treasured a dream of having a network of computers for themselves and their office. Products & Services: Dealer of Computer consumables like Laptop, Server, Projector, Printer, Scanner etc. What we are looking for: Customers for computer consumables",+91 471 3043504,Compu - Needs IT Solutions Pvt Ltd,"D-0 Periyar, Technopark Campus",production@compu-needs.com,695581
http://www.creace.in,Trivandrum,"Creace Technologies is a young and creative Mobile Innovation & Entertainment company focused on Enterprise Mobility Solutions for Industrial segments. Products & Services : Banking, Business & Sales Application, Finance, Games Development, Healthcare, Insurance, iPhone and Social Networking, Weatherforecasting. What we are looking for: Customers in Games Development, Healthcare, Insurance, Social Networking",+91 471 4061051,Creace Technologies Pvt Ltd,B,hr@creace.in,695581
http://www.inapp.com,Trivandrum,"InApp Inc. is a commitment personified, a value upheld and a passion shared. It has been nurturing steady client relationships, with solid-technology backup. Our service partnership transforms business problems into scalable and conclusive solutions. Products & Services: Android & iPhone, Java-based Mobile Applications, .NET Framework",+91 471-2527520,Datec Systems Pvt. Ltd.,"123, NILA, Technopark Campus Kariavattom P.O",info@inapp.com,695581
http://www.DeviceDriven.com,Trivandrum,"We have delivered on both end to end solutions and standalone projects on web and mobile space, ranging from 6 month projects from partnerships that have lasted over 5 years and dozens of projects.Our clients have included industry major and startups. Products & Services: Mobile Web Application for smartphones & Tablets, iOS Android Applications, eCommerce, Cloud Computing.",+91 471-2527727,DeviceDriven (India) Pvt Ltd,Padmanabham Technopark Campus,hr@devicedriven.com,695581
http://www.digitalbrandgroup.com,Trivandrum,"The DBLC is defined during the discovery phase of the engagement whereby the deliverables and timelines are carefully assessed based on the nature of the client's request and/or digital business requirements. Products & Services: Application programming services in PHP, Ruby, ASP, .NET, C++, and Java. Business Strategy & Executive Coaching, Business & Financial Planning, Organisational Development, Corporate Messaging and Brand / Product Relevancy.",+91 0471 4062112,Digital Brand Group Private Limited,"SBC 13,14 , Thejaswini, Technopark Campus",info@digitalbrandgroup.com,695581
http://www.eteamindia.com,Trivandrum,"E-Team India supports e-Zenit in the development of IT systems. We offer a wide range of services for web site development & management, control & automation software development, ERP solution in Microsoft Navision and BPO services. Products & Services: Server Storage Back up, IT Outsourcing, Networking, Printing & Consumables",+91 471-3048186,E-Team Informatica India Pvt. Ltd.,"B17, Gayatri, Technopark Campus",info@eteamindia.com,695581
http://www.enfintechnologies.com,Trivandrum,"Enfin is committed to excellence in delivering superior quality web solutions, on-time delivery and extended support services. We provide enterprise services in the areas of web application & mobile application development domains. Products & Services: QT Desktop & Mobile Application Development, Flex & AIR Application Development, Mobile Application Development, Live Streaming & Sharing.",+91-471- 4062604,Enfin Technologies India Pvt. Ltd.,"TBIC 11, Thejaswini, Technopark Campus",info@enfintechnologies.com,695581
http://www.entero.co.in,North Chalakudy,"Web Designing and Software Development We are into web development, software development and e-commerce solutions. Products & Services: Advanced Web Development, Custom Software Development, E- commerce Solutions, Graphic Designing, 3D & Multimedia, Domain & Hosting Services.",+91 9745020319,Entero Software Solutions Pvt.Ltd,"Chakkalamattath Tower CCMK Jn, North Chalakudy",vipulrajvr@gmail.com,680307
http://www.entiresofts.com,Trivandrum,"eNtireSofts is a full-service web development firm. We offer a complete range of Website Design and Development, includes Corporate Website, Flash Website Design, Search Engine Optimization and E-Commerce Solutions. Products & Services: Web Designing, Website Development, Graphic / Logo Design, Flash Website Design, Search Engine Optimization",,Entiresoft Technologies Pvt. Ltd,"TBIC - 4, TBIC, Thejaswini",info@entiresofts.com,695581
http://www.espinasoft.com,Kochi,"In 2008, five engineers started ESPINA Software Solutions LLP. From the beginning, the company was founded on the principle of building and implementing great ideas that drive progress for clients. Products & Services: We create unique cost effective customized softwares that meet the individual needs of the clients. And we don",09895934043,ESPINA Software Solutions,"Kurikayil Building,Opp Power House,Sahakarana Road,Vytila,Kochi.",info@espinasoft.com,
http://www.experionglobal.com,Trivandrum,"Experion is owned and managed by a group of professionals with nearly 150+ years of combined experience in Information technology. We are young, hale and hearty but not photogenic. Our customers include familiar names - Bacardi, Johnson & Johnson, Alexion, Merck Group, NCI,Aegon to name a few. Products & Services: Software Services, Mobile Application Development, Engineering Services",+91 471-2700756,Experion Technologies (India) Private Limited,"4th floor, Thejaswini Technopark Campus",info@experionglobal.com,695581
http://www.faespackagingsolutions.com,Trivandrum,"The company is active in the field of durable packaging and packaging advice. These services and products are divided into three specialised business units, Faes Cases (factory), FPC (consultancy) and SKB Europe (trade/warehouse). FPS Pvt Ltd is the ICT branch to support the Faes Group. Products & Services: Ajax, jQuery, PHP, MySQL, SYBASE",9947340785,Faes Packaging Solutions Pvt Ltd,"L Level ( -1) Floor, Thejaswini, Technopark Campus.",oscar.dekkers@faesgroup.com,695581
http://www.fisc.com,Trivandrum,"Fischer International Systems Corporation was founded in 1982 by Addison Fischer, a security visionary whose many accomplishments are recognized globally. Fischer International Systems Corporation has a distinguished history of innovation in the security industry. Products & Services: Tape Stream, IOF (Interactive Output Facility), SMTP Gateway, Interpost, TAQ",+91 471-2527427,Fischer Systems India Pvt. Ltd.,"224, NILA, Technopark Campus",anil.saraswathy@fisc.com,695581
http://www.floresco.in,Trivandrum,"FLORESCO TECHNOLOGIES PVT LTD is an information technology company, providing customized software and services. FLORESCO TECHNOLOGIES PVT LTD is a team of dedicated and highly skilled professionals focused on providing world class IT solutions. Products & Services: Software Development, Web Development, Outsourcing",+91 471-2700140,Floresco Technologies Pvt Ltd,"Tejus C, TBIC, Park Centre, Technopark",info@floresco.in,695581
http://www.flytxt.com,Trivandrum,"Flytxt's integrated product suite comprises of marketing and advertising products built on a core platform to provide carrier class scalability and performance. This suite of products enables real-time mobile advertising over any mobile channel and subscriber touch point. Products & Services: NEON (a purpose built mobile marketing solution designed to transform operator's own mobile marketing through increased marketing agility, extreme marketing scalability and 100% tracking and ROI measurement of marketing campaigns.)QREDA (a consumer fingerprinting powered, mobile advertising platform that connects all brand advertisers directly to all mobile consumers).",+91 471 270 0101,Flytxt Technology Private Limited,"Ind Floor, Amstor Building, Technopark Campus",info@flytxt.com,695581
http://www.gdsolutions.us,Trivandrum,"We measure our achievements based on the success of our clients are keenly committed to customer satisfaction,striving incessantly to deliver value to them through our deliverables.We have developed several tried & tested propriety tools in-house that ensure your desired return on investment. Products & Services: Web Design, Web Development, Seo, Social Networking, Hosting, Ecommerce.",471-2700007,GD Innovative Solutions Pvt Ltd,"C-13, Thejaswini, Technopark Campus",info@gdsolutions.us,695581
http://www.geotranstech.com,Trivandrum,"Geotrans is a new generation Information Technology company specializing in offering a wide range of GIS and IT services. Based in Trivandrum, KERALA and headed by some of the most experienced brains the company is poised to be a serious player in the global IT space. Products & Services: GIS Services, FIMS (Facilities Information Management System), AVLS Solution, Web Solution, Software Solutions",+91 471-4061928,Geotrans Technologies Pvt Ltd,"T-3, Thejaswini Technopark Campus",mail@geotranstech.com,695581
http://www.globaldes.com,Trivandrum,"GDES ME JLT is a fully fledged, multi-disciplined design and engineering company offering clients complete",+91 471 4060406,Global Design and Engineering Services (P) Ltd (GDES),"B 033,34, Ground Floor, Nila, Technopark Campus",info@globaldes.com,695581
http://www.harlandfinancialsolutions.com,Trivandrum,"Harland Financial Solutions serves as a strategic technology partner to more than 6,000 financial institutions of all sizes, including commercial banks, thrifts, credit unions and mortgage companies. Products & Services: Core Solutions, Risk Management, Technical Solutions, Consulting Services, Customization Services, Training Services.",+91 471 2772600,HFS Software India Pvt. Ltd.,"6A, Sixth Floor, Leela Infopark, Plot 2, Technopark",bysakh.bhasi@harlandfs.com,695581
http://www.hiworthsolutions.com,Trivandrum,"HI Worth Solutions is a pure play IT services provider, specializing in custom applications development across the Web and mobile phones technology. Founded by individuals with immense experience in specialized projects and proven track record in some of the major organizations around the world. Products & Services: Mobile Application Development, Web Technology, IT Services, E-Commerce.",+91 471 2700532,Hiworth Solutions Pvt Ltd.,"SBC No - 25 , Thejaswini Building, Technopark",hr@hiworthsolutions.com,695581
,Trivandrum,"HostDime is a privately owned, leading website hosting provider offering managed services. Our company quickly gained popularity shortly after conception and became recognized as a reliable web hosting company. Products & Services: SSL Certificates, cPanel Licenses, WHM: Complete Solution, Remote Backup Service, Site Builder.",+91 471 4060553,Hostdime Data Centre Services Pvt. Ltd,,,695581
http://www.hueray.com,Trivandrum,"Hue Ray Technologies is a venture established to serve and outsource to deliver the State-Of-The-Art Services to any complexity of clients. Our customers are of all sizes ranging from start-ups to large enterprises who realize that they need professional approach to generate revenue streams. Products & Services: Logo Designing, Brochure and Flyer Designing, Cover page designing, Ad Designing, Multimedia, 3d Modelling, Architectural Designing, Web Designing, Video Editing, Business Presentations, Flash Works, Customer Service",+91 471-2700222,Hueray Technologies Pvt. Ltd.,"TTBI, Tejus B, Park Centre, Technopark",info@hueray.com,695581
http://www.idynamics.com,Trivandrum,"UK-based iDynamics (iD) is an international, multi-centre software development operation with the combination of excellent skills, competitive cost structure and multi-time zone support needed by its multi-national corporate clients. Products & Services: Software Applications, Web Services, Mobile Applications, Search engine optimization (SEO).",+91 471 4093955,iDynamics Limited,"C-2, Level C Floor Thejaswini, Technopark Campus",info.india@idynamics.com,695581
http://www.igeneration.com,Trivandrum,"iGeneration develops, tests and designs cutting edge educational applications based on leading academic and field research from the schools of cognitive psychology and elementary education using innovative enabling technologies to create interactive immersive learning experience. Products & Services: Educational Applications (MathGlow)",+91 471 3053704,iGeneration Softwares Pvt Ltd,Amstor Building Technopark Campus,abhijithbabu@futurityventures.com,695581
,Trivandrum,"InApp Inc. is a commitment personified, a value upheld and a passion shared. It has been nurturing steady client relationships, with solid-technology backup. We believe in relationships and maintain our global delivery model, forging client-specific solutions. Products & Services: Mobile Solutions, Jboss Center of Excellence, Banking and Insurance, E-Governance, Document Management, Sales Force Automation, Point of Sale Solutions.",+91 471-2527270,InApp Information Technologies (India) Pvt. Ltd,"121, NILA, Technopark Campus",info@inapp.com,695581
http://www.infoblox.com,Trivandrum,"Infoblox delivers automation technology that helps meet increasing network demands and complexities caused by mobile device proliferation, virtualization and cloud usage. Products & Services: Education, Finance, Healthcare, Manufacturing, Technology, Cloud Computing, Consumerization, Brokering Connections, Virtualization.",+91 471 4061717,Infoblox Technical Support and Software Development Pvt Ltd,"2nd Floor, M-Squared Building, Technopark Campus",careers@infoblox.com,695581
http://www.infosys.com,Trivandrum,"Infosys pioneered the Global Delivery Model (GDM), based on the principle of taking work to the location where the best talent is available, where it makes the best economic sense, with the least amount of acceptable risk. Products & Services: Management Consulting Services, Business Application Services, Business IT Services, Engineering Services, Business Process Outsourcing, Cloud, Mobility.",+91 471 3982222,Infosys Limited,"III Floor, Bhavani,  Technopark",Infosystvm@infosys.com,695581
http://www.idsindia.co.in,Trivandrum,"Integrated Dynamic Solutions, Inc. (IDS) is a Microsoft Certified Partner specializing in custom software development, database design, and systems integration. Prodcuts & Services: Information Systems, Mobile Devices, Database Design, Web Based Programming, Office & Sales Office Automation, Software Prototyping, Networking.",+91 471- 4063438,Integrated Dynamic Solutions India Pvt Ltd,"M Squared Building, Technopark Campus",jobs@idspage.com,695581
http://www.itcinfotech.com,Trivandrum,"ITC Infotech is committed to deliver end-to-end IT solutions and services to its customers worldwide. We integrate our vast experience across industry sectors with world-class technology and state-of-the-art infrastructure to offer business-friendly solutions across industry verticals. Products & Services: Banking, Financial Services & Insurance, Consumer Packaged Goods, Hospitality, Manufacturing, Media and Entertainment, Retail, Travel, Transportation and Logistics, Life Sciences.",9526868111,ITC Infotech India Limited,"Module No. 404, 4th Floor, Thejaswini Building, Technopark",ps.rajesh@itcinfotech.com,695581
http://www.kamedainfologics.com,Trivandrum,"Kameda Infologics provides IT solutions to the healthcare industry. KI is using the best practices, systems and quality procedures for its software development. The software development team works with the objective of providing significant value to the investment made by the customer. Products & Services: IT Consulting, Hardware and Software Infrastructure",+91 471-3048174,Kameda Infologics Pvt.Ltd.,"First Floor, Amstor House, Technopark Campus.",hr@kamedainfologics.com,695581
http://www.kernox.com,Trivandrum,"We work with client organizations to address key challenges in Learning & Performance Development. The impact is greater agility and innovation in Learning & Performance Development in your organization. Products & Services: Talent Strategy & Learning System Design, Learning Technology Services.",+91 471-6444128,Kernox Learning Systems Pvt. Ltd.,jjoseph[at]kernox.com,jjoseph@kernox.com,695581
http://www.krossark.com,Trivandrum,"A Software Development and IT Services company providing a full range of High Quality, Cost-Effective Information Technology Solutions to businesses worldwide. Krossark delivers the best professional expertise, allowing our clients to obtain top quality services to fit their exact needs. Products & Services: Microsoft Solutions, Open Source Capability, Oracle Implementation, Business Consulting, Staff Augmentation.",+91 471 4010094,Krossark Consulting Services Pvt. Ltd,"SBC-01, Tejaswani Building, Technopark",info@krossark.com,695581
http://www.lumicel.net,Trivandrum,"Lumicel Technologies is an animation studio which helps clients turn their ideas into reality by combining world-class creative talent and cutting-edge-technologies. Lumicel operates with high integrity and focuses on achieving the best possible results for our clients. Products & Services: 2D Animations, 3D Animations, Motion Graphics, 3D Architecture",+91 9539999100,Lumicel Technologies,TBIC,info@lumicel.net,695581
http://www.m2india.com,Trivandrum,"M Squared Software and Services as one of the leading global providers of Software Solutions, Healthcare Services and Engineering Services. Customer satisfaction and goodwill enhancement has always been at the heart of everything we do, providing core values to sustain a well balanced relationship Products & Services: Medical Transcription, Call Center, Medical Software, Website Development, Access Control Systems, Hospitality.",+91 471- 4084000,M Squared Software and Services Pvt Ltd,"M-Squared Building, Technopark",m2india@m2comsys.com,695581
http://www.mobilexion.com,Trivandrum,"Mobilexion Technologies is a science and engineering company that leverages core capabilities in the areas of signal processing, mathematical modeling and visualization. Products & Services: Healthcare, image processing, acoustics, sonar systems, condition monitoring, communications",,Mobilexion Technologies Pvt. Ltd.,Amstor Building Technopark Campus,info@mobilexion.com,695581
http://www.mwatechnologies.com,Trivandrum,"MWA is exclusively focused in helping its clients make smarter decisions about enhancing the products developed to improve business performance. Products & Services: Rich Internet Applications, Mobile Applications, Customized Web site development and Mobi sites, Flash flip books, Microsoft Multipoint Applications, CC4 Network Testing, SMART multi touch applications and games, VLE/SCORM Packaging, Software Testing.",,MWA Technologies Pvt Ltd,"T- TBI, B-8 (B) Nila Building, Technopark",info@mwatechnologies.com,695581
http://www.nasscom.in,Trivandrum,"NASSCOM is the industry association for the IT-BPO sector in India. A not-for-profit organisation funded by the industry, its objective is to build a growth led and sustainable technology and business services sector in the country. Products & Services: Gaming, BPO, Global In-house Centres, EMERGE - Product, Engineering Services, Quality, Remote Infrastructure Management.",+91 471 2700222,NASSCOM,"Park Centre , Technopark",sujith@nasscom.in,695581
http://www.needstreet.com,Trivandrum,"NeedStreet is a product development company and has engineered a web based SAAS platform that helps connect consumers with businesses and provides tools and services for businesses to market themselves online. Products & Services: Internet and Social Media Marketing, Mobile & Web Product Development, Ecommerce and BPO",+91 471-2527727,NeedStreet Web Technologies Pvt Ltd,"Padmanabham, Technopark",info@needstreet.com,695581
http://www.nlindia.com,Trivandrum,"Neologix Software Solutions is a Web and mobile application development company. Neologix has been registering consistent growth over the years due to its dedicated personnel and commitment to quality and service. Products & Services: Web Development, Mobile Development, Web Design, Software Development, Software Consultancy, Database Design & Integration, IT Outsourcing, Offshore Development.",+91 471 6583760,Neologix Software Solutions India Pvt Ltd,"1E, Leela Infopark Building, Technopark",info@nlindia.com,695 581
http://www.nestsoftware.com,Trivandrum,"Network Systems & Technologies Pvt. Ltd. (NeST) in India is a leading IT solutions and services provider whose outsourcing and offshoring capabilities. We provides hardware and software design services and product design services to technology companies. Products & Services: Embedded development, embedded systems, automation, consumer electronics, automotive electronics, life sciences, digital multimedia, business applications, application development, system integration, product implementation and consulting services",+91 471 2527441,Network Systems & Technologies (P) Ltd [NeST],"Periyar, Technopark Campus",software.info@nestgroup.net,695581
http://www.noconsolutions.com,Trivandrum,"NocON is an International entity serving the IT operational needs of IT Service Providers worldwide. The company portfolio consist of three main complimentary services : Managed Services with round the clock alarm & fault monitoring essentially, Consultancy services & Business Continuity management. Products & Services: Exchange Server Monitoring, Security Services and Migrations, Implementation Services, Consulting, Backup and Disaster Recovery Services, Remote Infrastructure Monitoring and Management, Virtualisation Services.",+91 471 2527456,NocON Solutions Pvt Lvt,"1B, 1st floor, Leela Infopark, Technopark Campus",sales@noconsolutions.com,695581
http://www.noratel.in,Trivandrum,"Noratel India Power Components Pvt Ltd (formerly Toroid India Pvt Ltd) is a fully owned subsidiary of Noratel AS, a Norwegian company manufacturing transformers for the past 80 years. Products & Services: Markets: Drives, Renewable energy, Medical, Audio, Power supplies.",+91 471 304 82 75,Noratel India Power Components Private Limited,"6th Floor, NILA, Technopark Campus",info@noratel.in,695581
http://www.nozioneinfo.com,Trivandrum,"Nozione Info Solutions Pvt. Ltd is a unique Organization with a distinctive international focus. The Optimized development team is over 20 people strong, allowing the development and Projects to come in on time and on budget. Products & Services: Software Development, iPhone Application Development, .NET and PHP.",+91 471,Nozione info Solutions Pvt. Ltd,"A2, Periyar, Technopark Campus",info@nozioneinfo.com,695581
http://www.ocssoftwares.com,Trivandrum,"OCS Software is specialized in developing various platforms like Mobile, Windows, Web and Server Applications. OCS Software offers flexibility and choice to our customers across their IT infrastructure including services to clients in offshore development, on-site consultancy, product development. Products & Services: Software Product Engineering, Document Management, Project Management Solutions.",+91 471 2700085,OCS Software & Engineering Solutions Pvt Ltd,"L D12,-1 Floor, Thejaswini, Technopark Campus",info@ocssoftwares.com,695581
http://omextechnologies.com/,"Kanjiramattom, Kulayettikkara","Our mission is simple: make technology an asset for your business not a problem. Products & Services: We are a full service agency digital. We design and develop websites, applications, mobile solutions and more. So expect a very committed partnership that accomplishes your goals and more.",9447976601,Omex technologies,"XIII/532C, 1st Floor Variyathparambil Building",sreekanth.design@gmail.com,682315
http://www.phykon.com,Trivandrum,"Phykon Solutions has focused solely on providing outsourced services to small to medium businesses across the globe. Our understanding of business processes helps us optimize and streamline your service delivery. Products & Services: BPO Services, Contact Center, Software Services, E-Commerce, Social Media Marketing, Technical Support.",+91 471-6456070,Phykon Solutions Pvt Ltd,"L-11, Thejaswini, Technopark Campus",hr@phykon.com,695581
